2025-10-12 18:39:39,585 - INFO - Usando dispositivo: cuda
/home/exx/users/nicolas/venv/lib/python3.10/site-packages/torch/autograd/graph.py:829: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:179.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
2025-10-12 18:39:40,594 - INFO - Epoch 0 - Loss: 3.62e-01 - Time: 0.17s
2025-10-12 18:39:45,494 - INFO - Epoch 250 - Loss: 1.01e-01 - Time: 4.90s
2025-10-12 18:39:50,373 - INFO - Epoch 500 - Loss: 1.03e-01 - Time: 4.88s
2025-10-12 18:39:55,252 - INFO - Epoch 750 - Loss: 3.03e-01 - Time: 4.88s
2025-10-12 18:40:00,161 - INFO - Epoch 1000 - Loss: 3.03e-01 - Time: 4.91s
2025-10-12 18:40:05,068 - INFO - Epoch 1250 - Loss: 3.03e-01 - Time: 4.91s
2025-10-12 18:40:09,976 - INFO - Epoch 1500 - Loss: 3.03e-01 - Time: 4.91s
2025-10-12 18:40:14,884 - INFO - Epoch 1750 - Loss: 3.03e-01 - Time: 4.91s
2025-10-12 18:40:19,798 - INFO - Epoch 2000 - Loss: 3.03e-01 - Time: 4.91s
